 (Half Day), (نیم روز)
Leave blank if considered for all designations,اگر در نظر گرفته شده برای تمام نامگذاریهای خالی بگذارید
Leave blank if considered for all employee types,اگر در نظر گرفته شده برای انواع کارمند خالی بگذارید
Leave blank if considered for all grades,اگر تمام نمرات در نظر گرفته خالی بگذارید
Leave blank if you have not decided the end date.,اگر شما تاریخ پایان تصمیم را خالی بگذارید.
Leave by,ترک
"Leave can be approved by users with Role, ""Leave Approver""",ترک می تواند تایید شده توسط کاربران با نقش \""ترک Approver\""
Ledger,لجر
Left,سمت چپ
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,نهاد قانونی \/ فرعی جداگانه نمودار از حساب های متعلق به سازمان.
Letter Head,سر نامه
Letter Head Image,حرف سر تصویر
Letter Head Name,سر نامه نام
Level,سطح
"Level 0 is for document level permissions, higher levels for field level permissions.",سطح 0 برای سند مجوز سطح، سطوح بالاتر برای زمینه مجوز سطح است.
Lft,Lft
Link,لینک
Link to other pages in the side bar and next section,لینک به صفحات دیگر در نوار جانبی و بخش بعدی
Linked In Share,در سهم مرتبط
Linked With,ارتباط با
List,لیست
List items that form the package.,موارد لیست است که به صورت بسته است.
List of holidays.,لیستی از تعطیلات.
List of patches executed,لیست پچ های اعدام
List of records in which this document is linked,فهرست رکوردهای که در این نوشتار پیوند شده است
List of users who can edit a particular Note,لیست کاربرانی که توجه خاص می توانید ویرایش کنید
List this Item in multiple groups on the website.,این مورد در گروه های مختلف در وب سایت فهرست.
Live Chat,چت زنده
Load Print View on opening of an existing form,بار چاپ نما بر باز شدن فرم موجود
Loading,در حال بارگذاری
Loading Report,در حال بارگذاری گزارش
Loading...,در حال بارگذاری...
Log,ورود به سیستم
"Log of Activities performed by users against Tasks that can be used for tracking time, billing.",گزارشی از فعالیت های انجام شده توسط کاربران در برابر کارهای است که می تواند مورد استفاده قرار گیرد برای پیگیری زمان، صدور صورت حساب.
Log of Scheduler Errors,ورود به سیستم از خطاهای برنامه ریز
Login After,پس از ورود به سیستم
Login Before,قبل از ورود به سیستم
Login Id,شناسه ورود به سیستم
Logo,آرم
Logout,خروج
Long Text,متن طولانی
Lost Reason,دلیل از دست رفته
Low,کم
Lower Income,کاهش درآمد
Lucida Grande,گراند Lucida
MIS Control,کنترل MIS
MREQ-,MREQ-
MTN Details,اطلاعات ایرانسل
Mail Footer,پاورقی پست
Mail Password,رمز عبور ایمیل
Mail Port,نامه درگاه
Mail Server,سرور ایمیل
Main Reports,گزارش های اصلی
Main Section,بخش اصلی
Maintain Same Rate Throughout Sales Cycle,حفظ همان نرخ در طول چرخه فروش
Maintain same rate throughout purchase cycle,حفظ همان نرخ در طول چرخه خرید
Maintenance,تعمیر و نگهداری
Maintenance Date,تاریخ تعمیر و نگهداری
Maintenance Details,تعمیر و نگهداری اطلاعات
Maintenance Schedule,برنامه نگهداری
Maintenance Schedule Detail,جزئیات برنامه تعمیر و نگهداری
Maintenance Schedule Item,تعمیر و نگهداری برنامه مورد
Maintenance Schedules,برنامه های تعمیر و نگهداری
Maintenance Status,وضعیت نگهداری
Maintenance Time,زمان نگهداری
Maintenance Type,نوع نگهداری
Maintenance Visit,تعمیر و نگهداری بازدید
Maintenance Visit Purpose,هدف نگهداری بازدید
Major/Optional Subjects,موضوعات اصلی و اختیاری
Make Accounting Entry For Every Stock Movement,حسابداری ورودی را برای هر حرکت سهام
Make Bank Voucher,کوپن را بانک
Make Difference Entry,را تفاوت ورود
Make Time Log Batch,زمان ورود دسته ای را
Make a new,جدید
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,مطمئن شوید که معاملات شما می خواهید برای محدود کردن پیوند زمینه 'خاک' که 'خاک' استاد کند.
Male,مرد
Manage cost of operations,مدیریت هزینه های عملیات
Manage exchange rates for currency conversion,مدیریت نرخ تبدیل ارز
Mandatory,اجباری
"Mandatory if Stock Item is ""Yes"". Also the default warehouse where reserved quantity is set from Sales Order.",اجباری اگر سهام \""بله\"" است. همچنین انبار پیش فرض که در آن مقدار محفوظ است در مجموعه ای از سفارش فروش.
Manufacture against Sales Order,تولید برابر سفارش فروش
Manufacture/Repack,تولید\/Repack
Manufactured Qty,تعداد تولیدی
Manufactured quantity will be updated in this warehouse,مقدار تولید در این انبار بروز خواهد شد
Manufacturer,تولید کننده
Manufacturer Part Number,تولید کننده شماره قسمت
Manufacturing,ساخت
Manufacturing Quantity,مقدار تولید
Margin,حاشیه
Marital Status,وضعیت تاهل
Market Segment,بخش بازار
Married,ازدواج
Mass Mailing,پستی جرم
Master,استاد
Master Name,نام استاد
Master Name is mandatory if account type is Warehouse,نام استاد الزامی است اگر نوع حساب انبار است
Master Type,نوع استاد
Masters,کارشناسی ارشد
Match,مسابقه
Match non-linked Invoices and Payments.,مسابقه غیر مرتبط فاکتورها و پرداخت.
Material Issue,موضوع مواد
Material Receipt,مواد رسید
Material Request,درخواست مواد
Material Request Date,تاریخ درخواست مواد
Material Request Detail No,مواد بدون جزئیات درخواست
Material Request For Warehouse,درخواست مواد انبار
Material Request Item,درخواست مواد مورد
Material Request Items,موارد درخواست مواد
Material Request No,هیچ درخواست مواد
Material Request Type,نوع درخواست مواد
Material Request used to make this Stock Entry,درخواست مواد مورد استفاده برای ایجاد این مطلب سهام
Material Requests for which Supplier Quotations are not created,درخواست مواد که فروشنده نرخ نه ایجاد می شوند
Material Requirement,مواد مورد نیاز
Material Transfer,انتقال مواد
Materials,مواد
Materials Required (Exploded),مواد مورد نیاز (منفجر شد)
Max 500 rows only.,حداکثر 500 ردیف تنها.
Max Attachments,حداکثر فایل پیوست
Max Days Leave Allowed,روز حداکثر ترک مجاز
Max Discount (%),حداکثر تخفیف (درصد)
"Meaning of Submit, Cancel, Amend",معنی از ارسال، لغو، اصلاح
Medium,متوسط
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>",آیتم های منو را در بالای نوار. رفتن به <a href=\""#Form\/Style Settings\""> سبک تنظیمات<\/a> برای تنظیم رنگ نوار بالا
Merge,ادغام
Merge Into,ادغام
Merge Warehouses,ادغام انبارها
Merging is only possible between Group-to-Group or 					Ledger-to-Ledger,ادغام تنها ممکن است بین گروه به گروه و یا معین به معین است
"Merging is only possible if following \					properties are same in both records.					Group or Ledger, Debit or Credit, Is PL Account",ادغام است ممکن است تنها اگر زیر \\ خواص مشابه در هر دو پرونده هستند.\u0009\u0009\u0009\u0009\u0009گروه یا دفتر کل بدهی و یا اعتباری، حساب PL
Message,پیام
Message Parameter,پارامتر پیام
Message greater than 160 character will be splitted into multiple mesage,پیام بیشتر از 160 کاراکتر به چندین پیام splitted
Messages,پیام
Method,روش
Middle Income,درآمد متوسط
Middle Name (Optional),نام میانی (اختیاری)
Milestone,نقطه عطف
Milestone Date,نقطه عطف تاریخ
Milestones,نقاط عطف
Milestones will be added as Events in the Calendar,نقاط عطف به عنوان رویداد در تقویم اضافه خواهد شد
Millions,میلیون ها نفر
Min Order Qty,حداقل تعداد سفارش
Minimum Order Qty,حداقل تعداد سفارش تعداد
Misc,متفرقه
Misc Details,اطلاعات متفرقه
Miscellaneous,متفرقه
Miscelleneous,Miscelleneous
Mobile No,شماره موبایل
Mobile No.,شماره تلفن همراه
Mode of Payment,نحوه پرداخت
Modern,مدرن
Modified Amount,تغییر مقدار
Modified by,تغییر یافته توسط
Module,ماژول
Module Def,ماژول دف
Module Name,نام ماژول
Modules,ماژول ها
Monday,دوشنبه
Month,ماه
Monthly,ماهانه
Monthly Attendance Sheet,جدول حضور ماهانه
Monthly Earning & Deduction,درآمد ماهانه & کسر
Monthly Salary Register,ثبت حقوق و دستمزد ماهانه
Monthly salary statement.,بیانیه حقوق ماهانه.
Monthly salary template.,قالب حقوق ماهانه.
More,بیشتر
More Details,جزئیات بیشتر
More Info,اطلاعات بیشتر
More content for the bottom of the page.,مطالب بیشتر برای پایین صفحه.
Moving Average,میانگین متحرک
Moving Average Rate,میزان متوسط در حال حرکت
Mr,آقاي
Ms,کارشناسی ارشد
Multiple Item Prices,قیمت های متعدد مورد
Multiple root nodes not allowed.,چند ريشه گره مجاز نیست.
Mupltiple Item prices.,Mupltiple مورد قیمت.
Must be Whole Number,باید عدد کامل
Must have report permission to access this report.,گزارش اجازه دسترسی به این گزارش باید داشته باشد.
Must specify a Query to run,باید پرس و جو اجرا را مشخص کنید
My Settings,تنظیمات من
NL-,کام-
Name,نام
Name Case,نام مورد
Name and Description,نام و توضیحات
Name and Employee ID,شناسه نام و کارمند
Name as entered in Sales Partner master,نام در همکار فروش استاد وارد
Name is required,نام مورد نیاز است
Name of organization from where lead has come,نام سازمان از کجا آمده است منجر شود
Name of person or organization that this address belongs to.,نام شخص یا سازمانی که این آدرس را به آن تعلق دارد.
Name of the Budget Distribution,نام توزيع بودجه
Name of the entity who has requested for the Material Request,نام نهاد که برای درخواست مواد درخواست کرده است
Naming,نامگذاری
Naming Series,نامگذاری سری
Naming Series mandatory,نامگذاری سری اجباری
Negative balance is not allowed for account ,توازن منفی برای حساب مجاز است
Net Pay,شبکه پرداخت
Net Pay (in words) will be visible once you save the Salary Slip.,هنگامی که شما را نجات دهد لغزش حقوق و دستمزد پرداخت خالص (در کلمه) قابل مشاهده خواهد بود.
Net Total,مجموع خالص
Net Total (Company Currency),مجموع خالص (شرکت واحد)
Net Weight,وزن خالص
Net Weight UOM,وزن خالص UOM
Net Weight of each Item,وزن خالص هر یک از آیتم
Net pay can not be negative,پرداخت خالص می تواند منفی باشد
Never,هرگز
New,جدید
New BOM,BOM جدید
New Communications,ارتباطات جدید
New Delivery Notes,یادداشت جدید تحویل
New Enquiries,سؤال جدید
New Leads,آگهی های جدید
New Leave Application,نرم افزار جدید ترک
New Leaves Allocated,برگ های جدید اختصاص داده شده
New Leaves Allocated (In Days),برگ جدید (در روز)
New Material Requests,درخواست مواد جدید
New Password,رمز عبور جدید
New Projects,پروژه های جدید
New Purchase Orders,سفارشات خرید جدید
New Purchase Receipts,رسیدهای خرید جدید
New Quotations,نرخ جدید
New Record,رکورد جدید
New Sales Orders,سفارشات فروش جدید
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,شماره سریال جدید انبار وجود ندارد. انبار باید تعیین شود با ورود به بورس یا خرید رسید
New Stock Entries,ورودی های جدید سهام
New Stock UOM,UOM سهام جدید
New Supplier Quotations,نرخ جدید تامین کننده
New Support Tickets,درخواستهای پشتیبانی جدید
New Workplace,محل کار جدید
New value to be set,مقدار جدید برای تنظیم شود
Newsletter,عضویت در خبرنامه
Newsletter Content,مطالب خبرنامه
Newsletter Status,وضعیت عضویت در خبرنامه
"Newsletters to contacts, leads.",خبرنامه برای مخاطبین، منجر می شود.
Next Communcation On,بعد Communcation در
Next Contact By,مخاطب بعدی توسط
Next Contact Date,تاریخ تماس بعدی
Next Date,تاریخ آینده
Next State,دولت بعدی
Next actions,اقدامات بعدی
Next email will be sent on:,بعد ایمیل ارسال می شود:
No,نه
"No Account found in csv file, 							May be company abbreviation is not correct",حساب کاربری را در فایل csv یافت مخفف شرکت درست است ممکن است
No Action,هیچ اقدام
No Communication tagged with this ,هیچ ارتباطی با این برچسب
No Copy,هیچ نسخه ای
No Customer Accounts found. Customer Accounts are identified based on \			'Master Type' value in account record.,هیچ حساب مشتری در بر داشت. حساب مشتری را شناسایی بر اساس \\ 'استاد نوع' ارزش در رکورد حساب.
No Item found with Barcode,هیچ موردی در بر داشت با بارکد
No Items to Pack,هیچ موردی برای بسته
No Leave Approvers. Please assign 'Leave Approver' Role to atleast one user.,هیچ Approvers ترک. لطفا نقش \""ترک Approver\"" را به حداقل یک کاربر اختصاص دهید.
No Permission,بدون اجازه
No Permission to ,بدون اجازه
No Permissions set for this criteria.,هیچ اجازه ای برای این معیار تنظیم.
No Report Loaded. Please use query-report/[Report Name] to run a report.,هیچ گزارش لود شده. لطفا استفاده از پرس و جو گزارش \/ [گزارش نام] به گزارش را اجرا کنید.
No Supplier Accounts found. Supplier Accounts are identified based on \			'Master Type' value in account record.,هیچ اشتراک کننده در بر داشت. تامین کننده حساب شناسایی بر اساس \\ 'استاد نوع' ارزش در رکورد حساب.
No User Properties found.,ویژگی کاربر در بر داشت.
No accounting entries for following warehouses,هیچ ورودی حسابداری برای زیر انبار
No contacts created,تماس با ایجاد
No default BOM exists for item: ,فرض BOM مورد وجود دارد:
No further records,سوابق بیشتر
No of Requested SMS,هیچ درخواست اس ام اس
No of Sent SMS,شماره ارسال اس ام اس
No of Visits,هیچ بازدیدکننده داشته است
No one,هیچ کس
No permission to edit,اجازه ویرایش
No permission to write / remove.,بدون اجازه نوشتن \/ حذف.
No record found,موردي يافت نشد
No records tagged.,هیچ رکورد برچسب.
No salary slip found for month: ,بدون لغزش حقوق و دستمزد برای ماه در بر داشت:
"No table is created for Single DocTypes, all values are stored in tabSingles as a tuple.",هیچ جدول برای تک DocTypes ایجاد شده است، همه مقادیر در tabSingles به عنوان تاپل ذخیره می شود.
None,هیچ کدام
None: End of Workflow,هیچکدام: پایان دادن به گردش
Not,نه
Not Active,غیر فعال
Not Applicable,قابل اجرا نیست
Not Available,در دسترس نیست
Not Billed,صورتحساب نیست
Not Delivered,تحویل داده نشده
Not Found,یافت نشد
Not Linked to any record.,به هر گونه ثبت نشده.
Not Permitted,مجاز نیست
Not allowed entry in Warehouse,مجاز به ورود در انبار
Not allowed for: ,برای مجاز:
Not enough permission to see links.,اجازه به اندازه کافی برای دیدن لینک ها.
Not interested,علاقه مند
Not linked,مرتبط نیست
Note,توجه داشته باشید
Note User,توجه کاربر
Note is a free page where users can share documents / notes,توجه داشته باشید است یک صفحه که در آن کاربران سهم می تواند اسناد \/ یادداشت
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.",توجه داشته باشید: پشتیبان گیری و پرونده از Dropbox حذف نیست، شما باید آنها را به صورت دستی حذف کنید.
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.",توجه: پشتیبان گیری و پرونده ها از گوگل درایو حذف شده، شما باید آنها را به صورت دستی حذف کنید.
Note: Email will not be sent to disabled users,توجه: ایمیل به کاربران غیر فعال ارسال نمی شوند
"Note: For best results, images must be of the same size and width must be greater than height.",توجه: برای بهترین نتایج، تصاویر همان اندازه باید از و عرض باید بزرگتر از ارتفاع است.
Note: Other permission rules may also apply,توجه: قوانین اجازه دیگری نیز ممکن است درخواست
Note: You Can Manage Multiple Address or Contacts via Addresses & Contacts,توجه داشته باشید: شما چند آدرس و یا تماس با ما از طریق آدرس & مخاطبین می توانید مدیریت
Note: maximum attachment size = 1mb,توجه داشته باشید: اندازه پیوست حداکثر = 1 مگابایت
Notes,یادداشت ها
Nothing to show,هیچ چیزی برای نشان دادن
Notice - Number of Days,توجه - تعداد روز
Notification Control,آگاه شدن از طریق کنترل
Notification Email Address,هشدار از طریق ایمیل
Notify By Email,ایمیل
Notify by Email on creation of automatic Material Request,توسط ایمیل مطلع در ایجاد خودکار درخواست مواد
Number Format,شکلبندی شماره
O+,O +
O-,O-
OPPT,OPPT
Office,دفتر
Old Parent,پدر و مادر قدیمی
On,در
On Net Total,در کل خالص
On Previous Row Amount,در مقدار ردیف قبلی
On Previous Row Total,در مجموع ردیف قبلی
"Once you have set this, the users will only be able access documents with that property.",هنگامی که شما این را تعیین کرده اند که کاربران تنها دسترسی اسناد با آن مال خواهد بود.
Only Administrator allowed to create Query / Script Reports,فقط مدیر مجاز به ایجاد پرس و جو \/ گزارش اسکریپت
Only Administrator can save a standard report. Please rename and save.,فقط مدیر سیستم گزارش استاندارد را نجات دهد. لطفا نام و ذخیره کنید.
Only Allow Edit For,فقط اجازه می دهد برای ویرایش
"Only Serial Nos with status ""Available"" can be delivered.",(Nos) سریال تنها با وضعیت \""موجود\"" می تواند تحویل داده شود.
Only Stock Items are allowed for Stock Entry,فقط موارد سهام مجاز برای ورود به بورس
Only System Manager can create / edit reports,فقط مدیر سیستم می تواند ایجاد \/ ویرایش گزارش
Only leaf nodes are allowed in transaction,گره های برگ تنها مجاز در معامله
Open,باز
Open Production Orders,سفارشات باز تولید
Open Sans,باز بدون
Open Tickets,باز بلیط
Opening Date,تاریخ افتتاح
Opening Entry,باز مطلب
Opening Time,زمان افتتاح
Opening for a Job.,باز برای کار.
Operating Cost,هزینه های عملیاتی
Operation Description,شرح عملیات
Operation No,بدون عمل
Operation Time (mins),زمان عمل (دقیقه)
Operations,عملیات
Opportunity,فرصت
Opportunity Date,تاریخ فرصت
Opportunity From,فرصت را از
Opportunity Item,فرصت مورد
Opportunity Items,موارد فرصت
Opportunity Lost,فرصت از دست رفته
Opportunity Made,فرصت ساخته شده
Opportunity Type,فرصت های نوع
Options,گزینه های
Options Help,گزینه های راهنما
Order Confirmed,تایید سفارش
Order Lost,منظور از دست رفته
Order Type,نوع سفارش
Ordered Items To Be Billed,موارد به صورتحساب دستور داد
Ordered Items To Be Delivered,موارد تحویل داده شود دستور داد
Ordered Quantity,مقدار دستور
Orders released for production.,سفارشات برای تولید منتشر شد.
Organization Profile,مشخصات سازمان
Original Message,پیام اصلی
Other,دیگر
Other Details,سایر جزئیات
Out,دارای رتبهٔ
Out of AMC,از AMC
Out of Warranty,از گارانتی
Outgoing,خروجی
Outgoing Mail Server,سرویس دهنده نامه صادره
Outgoing Mails,ایمیل های خروجی
Outstanding Amount,مبلغ برجسته
Outstanding for Voucher ,برجسته برای کوپن
Over Heads,بالای سر
Overhead,سربار
Overlapping Conditions found between,شرایط با هم تداخل دارند بین در بر داشت
Owned,متعلق به
PAN Number,پان نوعی رامی شماره
PF No.,شماره PF
PF Number,تعداد PF
PI/2011/,PI\/2011 \/
PIN,پین
PO,پو
POP3 Mail Server,POP3 سرور ایمیل
POP3 Mail Server (e.g. pop.gmail.com),سرور ایمیل POP3 (به عنوان مثال pop.gmail.com)
POP3 Mail Settings,POP3 تنظیمات ایمیل
POP3 mail server (e.g. pop.gmail.com),سرور ایمیل POP3 (به عنوان مثال pop.gmail.com)
POP3 server e.g. (pop.gmail.com),سرور POP3 عنوان مثال (pop.gmail.com)
POS Setting,تنظیمات POS
POS View,POS مشاهده
PR Detail,جزئیات روابط عمومی
PRO,نرم افزار
PS,PS
Package Item Details,اطلاعات بیشتر در مورد بسته
Package Items,اقلام بسته بندی
Package Weight Details,جزئیات وزن بسته
Packing Details,جزئیات بسته بندی
Packing Detials,جزئیات بسته بندی آنها
Packing List,لیست بسته بندی
Packing Slip,لغزش های بسته بندی
Packing Slip Item,بسته بندی مورد لغزش
Packing Slip Items,بسته بندی موارد لغزش
Packing Slip(s) Cancelled,لغو بسته بندی Slip(s)
Page,صفحه
Page Background,پس زمینه صفحه
Page Border,کادر صفحه
Page Break,وقفه صفحه
Page HTML,صفحه HTML
Page Headings,عنوان صفحه
Page Links,صفحه لینک
Page Name,نام صفحه
Page Role,نقش صفحه
Page Text,متن صفحه
Page already exists,صفحه در حال حاضر موجود
Page content,محتوای صفحه
Page not found,صفحه پیدا نشد
Page to show on the website,صفحه نمایش در وب سایت
"Page url name (auto-generated) (add "".html"")",صفحه نام آدرس (خودکار تولید شده) (اضافه کردن \""صفحات روی html\"")
Paid,پرداخت
Paid Amount,مبلغ پرداخت شده
Parameter,پارامتر
Parent Account,حساب پدر و مادر
Parent Cost Center,پدر و مادر مرکز هزینه
Parent Customer Group,پدر و مادر مشتری گروه
Parent Detail docname,پدر و مادر docname جزئیات
Parent Item,پدر و مادر مورد
Parent Item Group,پدر و مادر مورد گروه
Parent Label,برچسب مادر
Parent Sales Person,پدر و مادر فرد فروش
Parent Territory,مادر خاک
Parent is required.,پدر و مادر لازم است.
Parenttype,Parenttype
Partially Billed,تا حدی صورتحساب
Partially Completed,تا حدی به پایان رسید
Partially Delivered,تحویل تا حدی
Participants,شرکت کنندگان
Partly Billed,تا حدی صورتحساب
Partly Delivered,تحویل تا حدی
Partner Target Detail,جزئیات هدف شریک
Partner Type,نوع همکار
Partner's Website,وب سایت همکار
Passive,غیر فعال
Passport Number,شماره پاسپورت
Password,رمز عبور
Password Expires in (days),رمز عبور منقضی می شود در (روز)
Password Updated,رمز بروز
Patch,پچ
Patch Log,ورود به سیستم وصله
Pay To / Recd From,پرداخت \/ Recd از
Payables,Payables
Payables Group,گروه payables
Payment Collection With Ageing,مجموعه پرداخت با پیری
Payment Days,روز پرداخت
Payment Entries,پرداخت ها
Payment Entry has been modified after you pulled it. 			Please pull it again.,پس از شما آن را کشیده پرداخت مطلب اصلاح شده است. \u0009\u0009\u0009لطفا دوباره نگه دار.
Payment Made With Ageing,پرداخت با پیری
Payment Reconciliation,پرداخت آشتی
Payment Terms,شرایط پرداخت
Payment cannot be made for empty cart,پرداخت نمی ساخته شده برای سبد خرید خالی
Payment to Invoice Matching Tool,پرداخت صورتحساب ابزار تطبیق
Payment to Invoice Matching Tool Detail,پرداخت صورتحساب مطابق جزئیات ابزار
Payments,پرداخت
Payments Made,پرداختهای انجام شده
Payments Received,دریافت پرداخت
Payments made during the digest period,پرداختهای انجام شده در طول دوره خلاصه
Payments received during the digest period,پرداخت در طی دوره خلاصه
Payroll Setup,حقوق و دستمزد نصب
Pending,انتظار
Pending Review,در انتظار بررسی
Pending SO Items For Purchase Request,انتظار چنین موارد برای درخواست خرید
Percent,درصد
Percent Complete,درصد تکمیل
Percentage Allocation,تخصیص درصد
Percentage Allocation should be equal to ,تخصیص درصد باید برابر باشد
Percentage variation in quantity to be allowed while receiving or delivering this item.,درصد تغييرات مقدار برای در حالی که دریافت و یا ارائه این مورد اجازه داده می شود.
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,درصد شما مجاز به دریافت یا ارائه بیشتر برابر مقدار سفارش. به عنوان مثال: اگر شما 100 واحد دستور داده اند. و کمک هزینه شما 10% است پس شما مجاز به دریافت واحد 110.
Performance appraisal.,ارزیابی عملکرد.
Period Closing Voucher,دوره بستن کوپن
Periodicity,تناوب
Perm Level,سطح پرم
Permanent Accommodation Type,نوع اقامت دائم
Permanent Address,آدرس دائم
Permission,مجوز
Permission Level,سطح اجازه
Permission Levels,سطح اجازه
Permission Manager,مدیریت مجوز
Permission Rules,قوانین مجوز
Permissions,مجوز
Permissions Settings,مجوز تنظیمات
Permissions are automatically translated to Standard Reports and Searches,مجوز به صورت خودکار ترجمه شده به گزارش های استاندارد و جستجو
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.",حال تنظیم مجوزها در نقش ها و انواع اسناد (نام DocTypes) با خواندن محدود ویرایش، جدید را، ارسال، لغو، اصلاح و گزارش حقوق.
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,مجوز در سطوح بالاتر سطح زمینه مجوز هستند. همه زمینه های 'مجوز سطح مجموعه علیه آنها و قوانین تعریف شده در مجوز به این زمینه اعمال است. این بسیار مفید است در جعبه گذاردن شما می خواهید برای مخفی کردن یا زمینه فقط خواندنی مطمئن.
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.",مجوز در سطح 0 سطح سند مجوز هستند، یعنی آنها برای دسترسی به این نوشتار اولیه.
Permissions translate to Users based on what Role they are assigned,مجوز ترجمه به کاربران بر اساس چه نقش اختصاص داده می شود
Person,فرد
Person To Be Contacted,شخص را به تماس گرفته شود
Personal,شخصی
Personal Details,اطلاعات شخصی
Personal Email,ایمیل شخصی
Phone,تلفن
Phone No,شماره تماس:
Phone No.,شماره تلفن
Pick Columns,انتخاب ستون
Pincode,شماره Pin
Place of Issue,محل صدور
Plan for maintenance visits.,برنامه ریزی برای نگهداری بازدید کنید.
Planned Qty,تعداد برنامه ریزی شده
Planned Quantity,مقدار برنامه ریزی شده
Plant,گیاه
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,لطفا را وارد کنید حروف اختصاری یا نام کوتاه مناسب آن را به عنوان به عنوان پسوند به همه سر حساب اضافه خواهد شد.
Please Select Company under which you want to create account head,لطفا انتخاب کنید که می خواهید برای ایجاد حساب سر شرکت
Please attach a file first.,لطفا اول فایل ضمیمه.
Please attach a file or set a URL,لطفا فایل ضمیمه یا تنظیم یک URL
Please change the value,لطفا مقدار را تغییر دهید
Please check,لطفا بررسی کنید
Please enter Cost Center,وارد مرکز هزینه
Please enter Default Unit of Measure,لطفا پیش فرض واحد اندازه
Please enter Delivery Note No or Sales Invoice No to proceed,لطفا بدون توجه تحویل یا فروش بدون فاکتور برای ادامه را وارد کنید
Please enter Employee Number,لطفا تعداد کارمند
Please enter Expense Account,لطفا هزینه اشتراک را وارد کنید
Please enter Purchase Receipt No to proceed,لطفا شماره رسید خرید به ادامه
Please enter Reserved Warehouse for item ,لطفا ذخیره انبار مورد
Please enter account group under which account \					for warehouse ,لطفا وارد حساب گروه تحت کدام حساب \\ برای انبار
Please enter company first,لطفا شرکت اول را وارد کنید
Please enter valid,معتبر لطفا
Please enter valid ,معتبر لطفا
Please install dropbox python module,لطفا نصب ماژول پایتون dropbox
Please make sure that there are no empty columns in the file.,که بدون ستون های خالی در فایل وجود دارد مطمئن شوید.
Please mention default value for ',لطفا اشاره به مقدار پیش فرض برای '
Please reduce qty.,لطفا تعداد را کاهش دهد
Please refresh to get the latest document.,لطفا برای دریافت آخرین سند تازه.
Please save the Newsletter before sending.,خبرنامه لطفا قبل از ارسال کنید
Please select Bank Account,لطفا انتخاب کنید حساب بانکی
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,لطفا انتخاب برگ حمل جلو اگر شما هم مایل به تعادل قبلی سال مالی به سال مالی جاری
Please select Date on which you want to run the report,لطفا تاریخ که در آن شما می خواهید برای اجرای این گزارش را انتخاب کنید
Please select Naming Neries,لطفا انتخاب نامگذاری Neries
Please select Price List,لطفا لیست قیمت را انتخاب کنید
Please select Time Logs.,لطفاً زمان سیاهههای مربوط را انتخاب کنید.
Please select a,لطفا انتخاب کنید
Please select a csv file,لطفا انتخاب فایل csv
Please select a file or url,لطفاً یک پرونده یا url را انتخاب کنید
Please select a service item or change the order type to Sales.,سرویس موردی را انتخاب کنید و یا تغییر نوع سفارش به فروش.
Please select a sub-contracted item or do not sub-contract the transaction.,لطفا انتخاب یک آیتم زیر قرارداد یا معامله را زیر قرارداد.
Please select a valid csv file with data.,لطفاً فایل csv معتبر با داده ها را انتخاب کنید.
Please select month and year,لطفا ماه و سال را انتخاب کنید
Please select the document type first,لطفا نوع سند اول را انتخاب کنید
Please select: ,لطفا انتخاب کنید:
Please set Dropbox access keys in,لطفا تنظیم کلیدهای دسترسی Dropbox
Please set Google Drive access keys in,لطفا درایو گوگل کلیدهای دسترسی در مجموعه
Please setup Employee Naming System in Human Resource > HR Settings,لطفا راه اندازی کارمند سیستم نامگذاری در منابع انسانی > تنظیمات ساعت
Please specify,لطفا مشخص کنید
Please specify Company,لطفا مشخص کنید شرکت
Please specify Company to proceed,لطفا مشخص کنید شرکت به ادامه
Please specify Default Currency in Company Master \			and Global Defaults,لطفا ارز پیش فرض مشخص در شرکت استاد \\ و جهانی پیش فرض
Please specify a,لطفا مشخص کنید
Please specify a Price List which is valid for Territory,لطفا لیست قیمت است که برای خاک معتبر را مشخص نمایید
Please specify a valid,لطفا مشخص کنید معتبر
Please specify a valid 'From Case No.',لطفا مشخص کنید معتبر 'از مورد شماره'
Please specify currency in Company,لطفا مشخص کنید ارز در شرکت
Please write something,لطفا چیزی بنویسید
Please write something in subject and message!,لطفا چیزی نوشتن در مورد موضوع و پیام!
Point of Sale,نقطه فروش
Point-of-Sale Setting,تنظیم آن از نقطه فروش
Post Graduate,فارغ التحصیل پست
Post Topic,ارسال موضوع
